"Costsm2","Age","Stores","Size","acPlugLoad","acAirCondition","gasDomestic","gasHeating","kWH","Long","Lat"
19.8904039632981,107,3,7847,16.45993959,3.61484793,0.178244823,0.288464788,156079.9999,-73.9690248,40.7923735
1.64671230958904,67,1,7300,4.174132412,1.015005976,0.166664921,0.827056103,12020.99986,-73.782794,40.700289
8.72611178936298,97,3,6656,8.76143734,0.390915945,0.028730894,0.202395508,58081.00007,-73.9520856,40.8023865
39.701427025247,107,4,4555,40.67305279,6.587211456,0.786570671,0.700616647,180840.0001,-73.9451961,40.6729456
3.43534480926724,170,2,9280,2.766020187,0.674934082,0.137837436,0.040228192,31879.99983,-73.7955014,40.7117876
1.47445436359127,91,2,4032,1.78004252,0.434886618,0.00949314,0.63894436,5944.999994,-73.7955014,40.7117876
3.698479992,170,2,12500,2.977866093,0.726689415,0.238984204,0.041268058,46230.9999,-73.7955014,40.7117876
27.005076142132,86,4,6304,20.73354105,6.861011721,0.829357852,1.750591387,170240,-73.9519127,40.6763333
9.34446417572665,56,3,9014,8.777209477,1.312875979,0.0757172,1.072885523,84231.00008,-73.754153,40.699882
4.48372612906846,86,3,1782,4.53175944,1.083655061,0.101114142,0.719890853,7989.999962,-73.754153,40.699882
0.984722248611111,127,2,3600,0.834317969,0.174735026,0.207653904,0.62961649,3545.000095,-74.1304489,40.6358099
6.58923086153846,86,1,650,9.744489836,1.252960949,0.064366715,1.341849228,4283.00006,-73.9463324,40.6939713
3.43616344617345,52,1,10989,3.499831131,3.175873094,0.072450134,0.409307863,37760.00011,-73.8789519,40.6612169
1.33738483081749,71,4,25505,9.04369668,0.858945884,0.041072483,0.264007758,34110.00011,-73.9468347,40.8186253
1.10695972698413,91,4,4095,4.263552658,3.43826772,0.629953778,0.641888508,4533.000082,-73.943372,40.81874
4.4897728930624,117,4,9744,9.851185956,1.0758177,0.05843415,0.036460695,43748.34707,-73.9216714,40.8661132
8.96233250403736,107,4,22911,9.851185956,1.0758177,0.029156422,0.827056103,205336,-73.9404561,40.8341956
0.767263448991191,103,2,7038,2.257090792,0.773500944,0.011178147,0.745507841,5400.000154,-73.9388203,40.8151905
6.198299986,75,2,10000,9.302564371,1.065507234,0.035786022,0.11972482,61982.99986,-74.0088817,40.6815226
15.30799993,86,1,2000,12.63767847,1.24402089,0.75567522,0.806243585,30615.99986,-74.0764021,40.6275215
12.9600000133333,107,3,7500,10.72618377,2.389513524,0.072817375,0.263627561,97200.0001,-73.9339499,40.6810893
8.52828574285714,46,1,3500,6.733903739,1.889032342,0.047476906,0.806243585,29849.0001,-73.7523365,40.5947466
18.312500225,67,1,800,14.62159848,4.583801141,0.622908318,0.904659735,14650.00018,-73.753855,40.6047334
11.52733322,67,1,1500,9.252877272,3.041561364,0.123185352,1.678320175,17290.99983,-73.8636374,40.5751461
7.696000025,77,1,2000,8.214417884,1.333895529,0.628839944,0.881580028,15392.00005,-73.8636374,40.5751461
2.05571173651929,52,1,7826,6.663307702,1.795378973,0.020324756,0.729646517,16088.00005,-73.8356758,40.582635
37.5311110222222,117,1,900,34.62659838,4.203384545,0.130748977,0.409307863,33777.99992,-73.9776141,40.7263725
8.749669414,11,3,5000,31.06380465,5.655447289,0.034741191,0.744458809,43748.34707,-73.958697,40.62523
2.91875,86,3,9600,4.19004544,1.05462335,0.014669148,0.171185639,28020,-74.0797014,40.6282664
6.042000092,67,1,1000,5.184105305,1.196938572,0.20363922,0.465249447,6042.000092,-73.8357699,40.5827587
55.50000014,88,2,1000,47.59406893,10.59679312,1.144460385,0.428884904,55500.00014,-73.8378233,40.5805242
6.67833346666667,88,2,600,5.328650492,2.848552332,0.101114142,0.288464788,4007.00008,-73.8378233,40.5805242
16.2645000066667,4,2,6000,14.37370495,2.59972129,0.360459895,1.007950087,97587.00004,-73.817115,40.5887325
2.1210801635453,91,2,4592,4.812969592,2.728716412,0.068733356,0.277840437,9740.000111,-73.9433814,40.8140753
9.14831128609887,87,2,8172,13.23584938,2.530386617,0.135057442,0.705468567,74759.99983,-73.7491396,40.6075143
7.68878050731707,86,2,3075,11.82682711,1.960057297,0.270921306,1.772506827,23643.00006,-73.7497946,40.6072579
2.43046372611111,89,3,18000,1.707258773,0.081024854,0.018924078,0.110041817,43748.34707,-73.9621723,40.6504518
0.906440576028963,100,4,5248,1.272268767,0.049233582,0.047476906,0.327414462,4757.000143,-73.95918,40.648795
0.906440576028963,100,4,5248,1.272268767,0.049233582,0.047476906,0.327414462,4757.000143,-73.95918,40.648795
2.33308717688331,92,3,5416,2.119974686,0.364748535,0.181762591,0.443632916,12636.00015,-73.9170051,40.6749107
3.86202245505618,52,1,8900,4.823929393,1.178334481,0.014205602,0.002102632,34371.99985,-73.7111511,40.6792129
48.6092745222222,109,2,900,9.851185956,1.0758177,0.017235803,0.428884904,43748.34707,-73.8854697,40.6741827
3.19334760163392,87,3,5141,4.556191536,1.725074748,0.018650987,0.02764164,16417.00002,-73.9638333,40.679697
63.254999925,95,1,800,61.53712907,3.384529556,0.188581935,0.021089902,50603.99994,-73.920481,40.7600746
1.14224776948318,107,4,6095,1.121467186,0.090291838,0.097964685,0.441250375,6962.000155,-73.9465147,40.7908209
